technique,threshold,portal1,portal2,match_percentage
BOW,0.8,Globo G1,DIARIO CATARINENSE,0.0
BOW,0.8,Globo G1,NDONLINE,0.005529953917050691
BOW,0.8,DIARIO CATARINENSE,NDONLINE,0.0
BOW,0.9,RIC MAIS,Jornal de SC,0.0010259917920656635
BOW,0.9,RIC MAIS,Globo G1,0.0
BOW,0.9,RIC MAIS,DIARIO CATARINENSE,0.0003568242640499554
BOW,0.9,RIC MAIS,NDONLINE,0.08819476343592099
BOW,0.9,Jornal de SC,Globo G1,0.0
BOW,0.9,Jornal de SC,DIARIO CATARINENSE,0.34074444166874845
BOW,0.9,Jornal de SC,NDONLINE,0.0014534883720930232
BOW,0.9,Globo G1,DIARIO CATARINENSE,0.0
BOW,0.9,Globo G1,NDONLINE,0.0
BOW,0.9,DIARIO CATARINENSE,NDONLINE,0.0
