technique,clus,clus_params,num_clusters,homogeneity,completeness,v_measure
Doc2Vec,DBSCAN,eps=0.4;min_samples=5,32.0,0.06741638561176927,0.14563218204009065,0.09216673409362318
Doc2Vec,DBSCAN,eps=0.4;min_samples=10,4.0,0.047620517250374285,0.13637989898315733,0.07059202870377218
Doc2Vec,DBSCAN,eps=0.4;min_samples=15,3.0,0.046318268515457006,0.13979150316109112,0.06958151978014257
Doc2Vec,DBSCAN,eps=0.4;min_samples=20,2.0,0.043913337207114427,0.13931421093295127,0.06677764325880874
Doc2Vec,DBSCAN,eps=0.4;min_samples=25,2.0,0.04216227285205829,0.13579374626361407,0.06434593232666264
Doc2Vec,DBSCAN,eps=0.45;min_samples=5,24.0,0.055764977531951206,0.11125948649130038,0.07429310191996878
Doc2Vec,DBSCAN,eps=0.45;min_samples=10,3.0,0.047189868715967295,0.1110588467874572,0.06623563904420342
Doc2Vec,DBSCAN,eps=0.45;min_samples=15,2.0,0.04608060343733125,0.11043636360944993,0.06502776500936086
Doc2Vec,DBSCAN,eps=0.45;min_samples=20,2.0,0.04783740479335926,0.11601352190813036,0.06774189100722407
Doc2Vec,DBSCAN,eps=0.45;min_samples=25,2.0,0.04914887599276147,0.11987808561054507,0.06971518754209287
Doc2Vec,DBSCAN,eps=0.5;min_samples=5,9.0,0.03274263737906393,0.0818339774396464,0.04677150311749803
Doc2Vec,DBSCAN,eps=0.5;min_samples=10,2.0,0.03254089372019267,0.08284394189205035,0.046727386561098254
Doc2Vec,DBSCAN,eps=0.5;min_samples=15,2.0,0.034142945555449056,0.08509735146469354,0.048733092932184474
Doc2Vec,DBSCAN,eps=0.5;min_samples=20,2.0,0.035342100482398726,0.08716474948146999,0.050292458513230734
Doc2Vec,DBSCAN,eps=0.5;min_samples=25,2.0,0.03794324541289564,0.09251985243452882,0.053816037245930225
Doc2Vec,DBSCAN,eps=0.55;min_samples=5,2.0,0.008644627780884517,0.06080468149092426,0.015137194144496597
Doc2Vec,DBSCAN,eps=0.55;min_samples=10,2.0,0.012165039083579753,0.07373788060797892,0.020884603288392024
Doc2Vec,DBSCAN,eps=0.55;min_samples=15,2.0,0.01353907580881284,0.07631036082832084,0.022997846150668026
